Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt5753856,2018-01-22,2018-01-23,"Netflix?s first original German series, Dark, will inevitably be compared to Stranger Things, but it is much different and well though out. Both series focus on children who have gone missing; both are set, in a dark setting , in the 1980s; both involve unexplained phenomena that cause lights to flicker, among other things; and both reveal a pathways somewhere in a cave that connect to a mysterious facility that?s key to the show?s central mysteries. Than in Dark is becoming totally different as the story goes along.The series tales place in Winden a little town in Germany. There are quiet characters to follows and you will be sucked in as well as addicted as I watched the series.The show opens with a voice-over explaining that ?everything is connected,? which turns out to be true of the relationships between the parents and children in four families that are introduced. There are a lot of characters to keep track and you must pay attention because if you blink you will miss something. We meet Jonas (Louis Hofmann), a teenager who has spent time in a mental hospital following his father?s suicide that is the beginning  scene , Jonas and several friends go on a late-night expedition into the woods to see if they can recover some drugs that Erik stashed away in a hiding spot, Erick is the one who disappeared at he beginning of the story. They get spooked by going to a cave where you should not go in some kind of nuclear underground stuff, in the process, a friend?s younger brother, Mikkel (Daan Lennard Liebrenz) disappears. The town may not know where Erik is, but we do. Erik is sitting in a chair like an electric chair and you will see someone briefly in the room. You will not know what is going on too much. Town goes searching for Mikkel and now there are two kids missing. He gets weirder from here on out, you will not believe where Mikkel winds up at, and that is all I am going say.
Dark is concerned about atmosphere and suspense with a cliff ending at the end of the series. The series setting is autumn, darkness, rain, and the smell of death is everywhere. It is going to become a chilling classic creepy thriller. Dark is stubble and as the horror element in it even a little bit of neon-noir in there. And yes I think Netflix has a hit on their hand. I can?t wait until next season.",Dark,https://www.imdb.com/title/tt5753856/,tvSeries,8.6,60,2017,"Crime, Drama, Mystery, Sci-Fi, Thriller",95699,2017-09-09,
2,tt6468322,2018-01-22,2018-01-23,"A dude named the professor who is the mastermind of this heist recruits of very peculiar robbers that will assault the Factory of Moneda and Timbre with such precision which could be the perfect robbery in the history of Spain and taking home 2,4 Billon Euros.
This one is so good it is not even funny. Ok the professor is the mastermind who plan every situation so he thinks so far so good as the professor said he does not want to know their names; no personal info about themselves and no personal relation between each other they have to stay focus. They are going to name each other with city names. You have Berlin who the police is looking for him. Tokyo a woman where she did a heist lost her fiancé by gun fire and the police is looking foe her. Moscow on who dig out a tunnel to get in stores to steal furs and diamonds, his son Denver drugs, fights in clubs, Rio who is like Mozart with a computer, know electronics and alarms. The twins Helsinki and Oslo and Nairobi who is perfect at making fake money. She is this perfectionist. There that is the gang they will spent 5 months at planning this heist. But is it going to go as planned and what are the obstacle are going to be facing them. Taking hostages it is not easy not even when there is 67 of them and there are going to be there 60 hours in the first season that is. The cat and mouse of the cops and robbers is like a symphony. 13 episode and you will be addicted plus on your edge of your seat. The actors are top-notch even the chemistry is there, and what a wonderful cast it is. The story is full of twist and surprises and at time it is funny plus there is the suspense and it will kill you. The first season is a joy. And I do love a heist series. Did I mentioned the Dali mask that they wear.",La casa de papel,https://www.imdb.com/title/tt6468322/,tvSeries,8.6,70,2017,"Action, Crime, Mystery, Thriller",117534,2017-05-02,
3,tt5618256,2018-01-22,2018-01-23,"For 17 years an FBI case into a notorious killer in 1995, named  the Unabomber, who mails packages containing bombs to people across America which, unsurprisingly, blow up the unsuspecting victims.
There is a fine line between fiction and realty here the discovery channel and Netflix manages to keep it on the dotted line. We follows this talented FBI agent that is trying to understand the language of the Unabomber but his superior are old school and does not want to hear his theory. The investigation in 1995 is a jump forward in time to 1997, it goes back and forth. The show here is trying to do something different from the other series which the narrative is interesting and will keep you on the edge of your seat. Of course you are already familiar with the story you have already seen tin the new however if you are in Europe you might have heard it on some level, in the state we heard it for weeks every time a bomb went off. The acting is outstanding even the cast has great chemistry. A little different in telling the story, and enjoyable to watch.",Manhunt: Unabomber,https://www.imdb.com/title/tt5618256/,tvSeries,8.2,60,2017,"Crime, Drama",33896,2017-08-01,
4,tt5290382,2018-01-22,2018-01-23,"Mindhunter is based on the book of the same name, John E. Douglas? account of his interviews with serial killers when he was a FBI agent trying to understand the motivations behind their murders. He woke though barrier to get there so everyone in law enforcement could understand how the mind of a serial killer works.
Douglas (Jonathan Groff) a FBI agent a bit head strong who has a partner Bill Tench (Holt McCallany) and goes along to interview real killers but at the time they were not called serial killer. The time line here is set in the 70?s. Those two FBI agent are traveling country and even teach the police to figure out a profile of a killer so they can catch them. Once in a while the get in on a  case that they solved with the police. The series here feels real with the testimony of those serial killers. It is a series Neo-Noir even the landscape is grippy and shift from time to time as the crime becomes more gruesome. Of course it is a Netflix series of 12 episodes. You will be hooked from the beginning. Both actors here are doing an outstanding job plus the go into their personal life a bit as the episodes goes on. Well written and at times the series goes into dark mode. As a  FBI agent told me once it is hard to jungle this kind of job and a family at the same time. You see it in the series. It is like you are living it and you are following the agent while discovering the atrocity that the serial killer describes. Entertaining yes and you want more each time.",Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.5,60,2017,"Crime, Drama, Thriller",113343,2017-10-13,
5,tt6021284,2018-01-22,2018-01-23,"After going on a date with surgeon Andrew Earlham schoolteacher Laura Nielson accuses him of rape.
Here is a woman who goes on a date and the next morning is feeling that something is seriously wrong, she has this feeling she has been raped. Later she thinks that Andrew has put in something in her drink than rapped her. Here is a classic she said, he said on this touchy subject which is rape. The viewer has this view of a detective as the story unfold. One little flaw in the series in the third episode you will know who did it. What they should have done is let the story unfold where you will see both characters fight it out sort of speak, the reveal until the very end who did it. At first you go ok who is right and who is lying. On the top on that Laura will uncover secrets of others. The further she digs in the more she is going to piss off Andrew. The police even tells her let us do our job.
The drama is the grippy mystery with Joanne Froggatt is a powerhouse of an actress, while Ioan Gruffudd is superb and fits the bill perfectly well. This amount to some great drama / Crime / thriller with a cool musical score and great cinematography.",Liar,https://www.imdb.com/title/tt6021284/,tvSeries,7.1,45,2017,"Crime, Drama, Thriller",4311,2017-09-11,
6,tt6531888,2018-01-22,2018-01-23,"Awarded at the Mania Series Festival in 2017, the sci-fi series Transfers by Claude Scasso and Patrick Benedek is on Arte the channel in France and I got to see it all six episode and what an imagination.  The series is from the German film of the same name directed by Damir Lukacevic in 2010.
In the near future, the transfer of one soul from one body to another has become possible, sparking hopes, fantasies and new trades. Florian (Arieh Worthalter), a father in a coma, wakes up in the body of a policeman, Sylvain, charged with fighting illegal ?transfers?.",Transferts,https://www.imdb.com/title/tt6531888/,tvSeries,7.4,60,2017,"Sci-Fi, Thriller",463,2017-02-14,
7,tt7197684,2018-01-22,2018-01-23,"A Netflix series. There are TV series that start at a high level and keep up the level from start to finish. They are small miracles that spring up to the top, at the highest levels of serial production. But they are rare cases. More often there are highs and lows, between pilot episodes that shoot all the cartridges and remain without anything to say then, you have the series that grow and they keep it interesting . These are the ones that have balls and confidence. When you see the first episode , the first scenes  you go damn they control the situation right off the bat. It is the case with Suburra, whose first episode, directed by Michele Placido as the second, goes a step away from the disaster but it saves showing right away those that will then be the best and central aspects of the series inspired by Stefano Sollima?s film, of which Netflix production is a kind of prequel. Nice move.
It is about the gypsies and the mob that fights for the land which politics is going to be into play. The story of tow clan who youngsters want to take over and make their marks. Two will be friend and form an unlikely relationship. The series focusing on the relationship between state, church and crime. In fact, the religious institution is present in a very small, in-depth manner, and politics becomes less important, leaving room for everything else, and that is fine because the rest is a story of criminal families  is told by a very good cast. It is very addictive and when the first season is over you will want more. Season 2 please.",Suburra - La serie,https://www.imdb.com/title/tt7197684/,tvSeries,8.1,50,2017,"Action, Crime",5908,2017-09-02,
8,tt1837492,2018-01-22,2018-01-23,"The series follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.
The series  from Netflix is based on the young adult novel by Jay Asher 13 reasons why. Before committing suicide Hannah (Katherine Langford) recorded 13 cassettes, each involving a  class mate that was somehow responsible to end her life. The tapes are to be listened to in its entirety and then passed along to the next person on the tapes until everyone has heard them. The series focuses on Clay (Dylan Minnette), one of the people on the tapes and how is he going to react to it after hear them.
Here is a series for young adolescent but the adult can watch it as well. It is quit addictive. It has a bit of realism into it like the realities of teenage insecurities and the power people?s words and actions have over others. But the thing it is unlikely that a teenager will do that and leave tapes for everyone to hear. It is a fictional story here. Clay doesn?t listen to all the tapes in one night it does in 13 days one at the time and try to figure out why she ended her life. He is playing detective a bit, and the thing is you want to get to the 13 episodes to see why gives. The series is design well here to keep you interested until the last episode 13. Terrific series here on Netflix. Do  not miss it.",13 Reasons Why,https://www.imdb.com/title/tt1837492/,tvSeries,8.0,60,2017,"Drama, Mystery",203923,2017-03-31,
9,tt6467482,2018-01-22,2018-01-23,"Jeanne Deber (Carole Bouquet)  La mante (a famous serial killer)  who terrorized France, has been imprisoned for more than 25 years. When a murder who is  identical of  the crime scenes of ?La Mante?, Commissioner Ferracci (Pascal Demolon) decides to collaborate with Jeanne. However, the latter has only one request: to have as sole interlocutor her son (Fred Testot) that she has not seen since her arrest.
Scary maybe but well writing and directed here is an other series, well here is my problem they said it is a mini-series but there may be a second season so I will let you know as soon as I can. However let?s go back to the series shall we. In the series there is this balance between action and psychology trying to get inside the head of a killer. It is not going to be easy for Damien seen his mother since he is with his new girlfriend who has a kid from a previous relationship. Carole Bouquet does an outstanding job here to play this series killer even though she has played plenty of femme fatale before that. The game between her and her son and the manipulation begins. The fear of not finding the killer in time plus other thing is going to be in play. Here is a refreshing thriller that is nice and works well because of its great cast.",La Mante,https://www.imdb.com/title/tt6467482/,tvMiniSeries,7.5,52,2017,"Crime, Drama, Thriller",6451,2017-08-28,
10,tt4998350,2018-01-22,2018-01-23,"The rise of the pornographic industry from the early 1970s to the mid-1980s. In the specialty stores, another cinema is sold under the coat. Pornographic movies are made cheaply as fast as they can make them.  But soon, all this will change ? At the forefront of this cultural revolution, two twin brothers who owns a bar serving as a cover for the local mafia, Vincent and Frankie Martino and Candy, a prostitute in search of freedom, a courageous visionary, listening to the evolutions of his time.
It is New York and two twin brothers here who are working for the mob owning a bar so they can launder their money , their father in the construction business has on foot with mob also, plus the pimps and the hookers that are roaming the streets trying to make a buck. Candy (Maggie Gyllenhaal), an astute prostitute with aspirations, and Marty Hodas (Saul Stein), the real-life King of the Peeps, knowledgeably discussing what could be lucrative. The actual Deuce, is in the area of New York City that was Times Square/42nd Street. The deuce here is the real deal, you fell like you are in the 70?s early 80?s and that you are going a part of something. For those who were there back then it is going to bring back memories. I was there in the late 70?s in the U.S. and it is was the coolest thing back then. The cars, the women, booze, the bar scene the music it has it all. Maggie Gyllenhaal here shines big time she even steal the show, however James Franco who is doing double duty doing an outstanding jobs here of which the casting is near perfect I will even say perfect. I say this to you do not miss this one. The first season consist of 9 episodes of an hour and  1/2.",The Deuce,https://www.imdb.com/title/tt4998350/,tvSeries,8.1,60,2017,Drama,17362,2017-08-25,
